"Serial","ID","Asset Number","Friendly Name","Username","First Name","Last Name","Email","Model","OS","IMEI","Wi-Fi MAC Address","Last Seen","Tags","Organization Group"
"CH77JWN6GH","SC912","จักราชวิทยา_SC912","จักราชวิทยา_SC912_CH77JWN6GH","Student_183_1030201383","Student183","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850277597","AC:82:F0:9F:F4:6E","6/8/2026 2:36:19 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"F799J45YGR","SC502","จักราชวิทยา_SC502","จักราชวิทยา_SC502_F799J45YGR","Student_101_1030201383","Student101","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850095882","AC:82:F0:9C:AB:B0","6/8/2026 2:36:19 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"CMF93XKHQ6","SC115","จักราชวิทยา_SC115","จักราชวิทยา_SC115_CMF93XKHQ6","Student_23_1030201383","Student23","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.1.0","357585650386245","AC:82:F0:9C:C5:AF","6/8/2026 2:36:18 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"GYV2334TXL","SC417","จักราชวิทยา_SC417","จักราชวิทยา_SC417_GYV2334TXL","Student_84_1030201383","Student84","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850638392","AC:82:F0:A2:B9:E2","6/8/2026 2:36:18 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"MFH3Q992NN","SC215","จักราชวิทยา_SC215","จักราชวิทยา_SC215_MFH3Q992NN","Student_43_1030201383","Student43","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357585650532467","AC:82:F0:A3:EA:1D","6/8/2026 2:36:18 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"H4NVK3XRWK","SC466","จักราชวิทยา_SC466","จักราชวิทยา_SC466_H4NVK3XRWK","Student_94_1030201383","Student94","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.1.0","357879850400199","AC:82:F0:AA:6D:B7","6/8/2026 2:36:18 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"MP43D7PWR4","SC476","จักราชวิทยา_SC476","จักราชวิทยา_SC476_MP43D7PWR4","Student_96_1030201383","Student96","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850909793","AC:82:F0:A1:33:91","6/8/2026 2:36:18 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"J49W5QDQJT","SC728","จักราชวิทยา_SC728","จักราชวิทยา_SC728_J49W5QDQJT","Student_146_1030201383","Student146","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850803038","AC:82:F0:98:E0:7C","6/8/2026 2:36:17 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"LP979VMVTG","SC556","จักราชวิทยา_SC556","จักราชวิทยา_SC556_LP979VMVTG","Student_112_1030201383","Student112","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.4.2","357879850763992","AC:82:F0:9C:97:FD","6/8/2026 2:36:17 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"G76H06MXYC","SC426","จักราชวิทยา_SC426","จักราชวิทยา_SC426_G76H06MXYC","Student_86_1030201383","Student86","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850465689","AC:82:F0:AB:D1:7A","6/8/2026 2:36:17 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"JVMWFP437K","SC198","จักราชวิทยา_SC198","จักราชวิทยา_SC198_JVMWFP437K","Student_40_1030201383","Student40","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357585650527855","AC:82:F0:AA:FA:F9","6/8/2026 2:36:17 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"J1QQ9T40MF","SC677","จักราชวิทยา_SC677","จักราชวิทยา_SC677_J1QQ9T40MF","Student_136_1030201383","Student136","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.3.1 (a)","357879850090974","AC:82:F0:AA:A8:E2","6/8/2026 2:36:17 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"J6FGPD63N9","SC233","จักราชวิทยา_SC233","จักราชวิทยา_SC233_J6FGPD63N9","Student_47_1030201383","Student47","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850414281","AC:82:F0:9F:0E:4C","6/8/2026 2:36:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"FNX42R09VC","SC377","จักราชวิทยา_SC377","จักราชวิทยา_SC377_FNX42R09VC","Student_76_1030201383","Student76","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850361532","AC:82:F0:AD:2F:BF","6/8/2026 2:36:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HQKXW3V653","SC193","จักราชวิทยา_SC193","จักราชวิทยา_SC193_HQKXW3V653","Student_39_1030201383","Student39","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357585650010381","AC:82:F0:9D:E4:D4","6/8/2026 2:36:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"JFMWT9KL7H","SC542","จักราชวิทยา_SC542","จักราชวิทยา_SC542_JFMWT9KL7H","Student_109_1030201383","Student109","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850561487","AC:82:F0:A5:39:5C","6/8/2026 2:36:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"D57JGKLQ2R","SC336","จักราชวิทยา_SC336","จักราชวิทยา_SC336_D57JGKLQ2R","Student_68_1030201383","Student68","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.2.1","357879850580636","AC:82:F0:AC:12:B5","6/8/2026 2:36:13 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"LG3G9LXLN4","TC23","จักราชวิทยา_TC23","จักราชวิทยา_TC23_LG3G9LXLN4","Teacher_05_1030201383","Teacher05","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850470788","AC:82:F0:9E:F6:0F","6/8/2026 2:36:06 PM","TC; All; สพม.นครราชสีมา; TC_จักราชวิทยา; จักราชวิทยา","รร.จักราชวิทยา"
"JX0NV6DX01","SC349","จักราชวิทยา_SC349","จักราชวิทยา_SC349_JX0NV6DX01","Student_70_1030201383","Student70","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850600947","AC:82:F0:A2:94:FD","6/8/2026 2:36:03 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"GJWKXLHFLX","SC776","จักราชวิทยา_SC776","จักราชวิทยา_SC776_GJWKXLHFLX","Student_156_1030201383","Student156","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850325859","AC:82:F0:A8:1E:CA","6/8/2026 2:35:46 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"LNXHYGGF7G","SC324","จักราชวิทยา_SC324","จักราชวิทยา_SC324_LNXHYGGF7G","Student_65_1030201383","Student65","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850818416","AC:82:F0:9A:5F:7C","6/8/2026 2:35:46 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"M7X0MHH2JM","SC975","จักราชวิทยา_SC975","จักราชวิทยา_SC975_M7X0MHH2JM","Student_195_1030201383","Student195","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850547056","AC:82:F0:AA:B6:25","6/8/2026 2:35:12 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"C0941Y7P32","SC856","จักราชวิทยา_SC856","จักราชวิทยา_SC856_C0941Y7P32","Student_172_1030201383","Student172","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850537396","AC:82:F0:A5:E9:91","6/8/2026 2:34:59 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HM66M3V55Q","SC857","จักราชวิทยา_SC857","จักราชวิทยา_SC857_HM66M3V55Q","Student_172_1030201383","Student172","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850234556","AC:82:F0:A0:96:CB","6/8/2026 2:34:59 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"K9QXKM9H4R","SC161","จักราชวิทยา_SC161","จักราชวิทยา_SC161_K9QXKM9H4R","Student_33_1030201383","Student33","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357585650982605","AC:82:F0:AA:C1:03","6/8/2026 2:34:36 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"JWQ3Q9CWNT","SC576","จักราชวิทยา_SC576","จักราชวิทยา_SC576_JWQ3Q9CWNT","Student_116_1030201383","Student116","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850327715","AC:82:F0:A6:01:57","6/8/2026 2:34:35 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"CYDX1KH4K2","SC326","จักราชวิทยา_SC326","จักราชวิทยา_SC326_CYDX1KH4K2","Student_66_1030201383","Student66","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850387602","AC:82:F0:9A:21:F5","6/8/2026 2:34:30 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"C7JH40M7TN","SC1030","จักราชวิทยา_SC1030","จักราชวิทยา_SC1030_C7JH40M7TN","Student_206_1030201383","Student206","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850171378","AC:82:F0:AC:C2:24","6/8/2026 2:34:11 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"C7ML9KD9LM","SC918","จักราชวิทยา_SC918","จักราชวิทยา_SC918_C7ML9KD9LM","Student_184_1030201383","Student184","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850424363","AC:82:F0:AB:D5:2E","6/8/2026 2:34:09 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"JTJHKWG2H5","SC585","จักราชวิทยา_SC585","จักราชวิทยา_SC585_JTJHKWG2H5","Student_117_1030201383","Student117","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850840329","AC:82:F0:AB:7C:01","6/8/2026 2:34:00 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"L37Q7W4713","SC538","จักราชวิทยา_SC538","จักราชวิทยา_SC538_L37Q7W4713","Student_108_1030201383","Student108","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850707411","AC:82:F0:AA:08:00","6/8/2026 2:33:55 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"H0F33H3JFC","SC785","จักราชวิทยา_SC785","จักราชวิทยา_SC785_H0F33H3JFC","Student_157_1030201383","Student157","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850090750","AC:82:F0:A5:31:0D","6/8/2026 2:33:35 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HDYHGPHGGK","SC239","จักราชวิทยา_SC239","จักราชวิทยา_SC239_HDYHGPHGGK","Student_48_1030201383","Student48","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.4.2","357879850395985","AC:82:F0:A4:EC:A9","6/8/2026 2:33:24 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"G4M639KC70","SC790","จักราชวิทยา_SC790","จักราชวิทยา_SC790_G4M639KC70","Student_158_1030201383","Student158","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850946530","AC:82:F0:AD:73:5D","6/8/2026 2:33:23 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"M6T00L6Y9C","SC272","จักราชวิทยา_SC272","จักราชวิทยา_SC272_M6T00L6Y9C","Student_55_1030201383","Student55","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.1.0","357879850444965","AC:82:F0:9B:0A:10","6/8/2026 2:33:05 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"F7QY6TL9V6","SC383","จักราชวิทยา_SC383","จักราชวิทยา_SC383_F7QY6TL9V6","Student_77_1030201383","Student77","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.1.0","357879850207107","AC:82:F0:9A:B1:A2","6/8/2026 2:32:39 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"KDQYNPK2R0","SC108","จักราชวิทยา_SC108","จักราชวิทยา_SC108_KDQYNPK2R0","Student_22_1030201383","Student22","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850111283","AC:82:F0:A5:AA:DF","6/8/2026 2:32:03 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"G793DLPMGM","SC622","จักราชวิทยา_SC622","จักราชวิทยา_SC622_G793DLPMGM","Student_125_1030201383","Student125","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850200276","AC:82:F0:A0:1D:D4","6/8/2026 2:32:00 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"K96L1637QM","SC482","จักราชวิทยา_SC482","จักราชวิทยา_SC482_K96L1637QM","Student_97_1030201383","Student97","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850334844","AC:82:F0:9D:C9:86","6/8/2026 2:31:30 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"MFPM766404","SC845","จักราชวิทยา_SC845","จักราชวิทยา_SC845_MFPM766404","Student_169_1030201383","Student169","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850671823","AC:82:F0:A2:9A:EA","6/8/2026 2:31:28 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"MN7WYX6KDM","SC581","จักราชวิทยา_SC581","จักราชวิทยา_SC581_MN7WYX6KDM","Student_117_1030201383","Student117","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.4.2","357879850129202","AC:82:F0:9D:B3:C0","6/8/2026 2:31:19 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"MLXVV7GR75","SC922","จักราชวิทยา_SC922","จักราชวิทยา_SC922_MLXVV7GR75","Student_185_1030201383","Student185","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850287083","AC:82:F0:AD:15:EF","6/8/2026 2:31:18 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"H6Q59972JC","SC913","จักราชวิทยา_SC913","จักราชวิทยา_SC913_H6Q59972JC","Student_183_1030201383","Student183","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.1.0","357879850493533","AC:82:F0:9F:03:C8","6/8/2026 2:31:17 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"KRQRFP3VQ6","SC953","จักราชวิทยา_SC953","จักราชวิทยา_SC953_KRQRFP3VQ6","Student_191_1030201383","Student191","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850986395","AC:82:F0:AB:BD:3B","6/8/2026 2:31:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"F17Y237YJD","SC1106","จักราชวิทยา_SC1106","จักราชวิทยา_SC1106_F17Y237YJD","Student_222_1030201383","Student222","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850525193","AC:82:F0:9E:84:76","6/8/2026 2:31:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HTWV6GYWCC","SC1064","จักราชวิทยา_SC1064","จักราชวิทยา_SC1064_HTWV6GYWCC","Student_213_1030201383","Student213","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.1.0","357879850960069","AC:82:F0:99:4B:48","6/8/2026 2:31:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
"HD47VWC04L","SC1043","จักราชวิทยา_SC1043","จักราชวิทยา_SC1043_HD47VWC04L","Student_209_1030201383","Student209","Admin","obec68zone1@obec.org","iPad (A16) (Wi-Fi + Cellular 128 GB Silver)","26.5.0","357879850058948","AC:82:F0:A2:8D:3F","6/8/2026 2:31:16 PM","SC; All; สพม.นครราชสีมา; จักราชวิทยา; SC_จักราชวิทยา","รร.จักราชวิทยา"
